source_file,label,start,end,score,snippet,source
email_1.txt,PERSON,9,33,0.55,"Subject: Your Details  Hello John,  If any of the data is incorrect, repl",fallback_multi
email_1.txt,PERSON,13362,13372,0.55," to this message with updates.  Thanks, John Brown ",fallback_multi
email_10.txt,PERSON,62,85,0.55,"l.com Mon May  4 21:48:34 2026 Subject: Important  Hello Carlos,  We need to verify the following infor",fallback_multi
email_10.txt,PERSON,13205,13218,0.55,"lowing entry for your account.  Thanks, Carlos Nguyen ",fallback_multi
email_100.txt,PERSON,65,91,0.55,"e.com Mon May  4 21:48:34 2026 Subject: Verification  Hello Olivia,  We need to verify the following infor",fallback_multi
email_100.txt,PERSON,13553,13566,0.55," below when you have a moment.  Thanks, Olivia Taylor ",fallback_multi
email_11.txt,PERSON,9,28,0.55,"Subject: Invoice  Hello Emma,  Our records show the following entry ",fallback_multi
email_11.txt,PERSON,13002,13015,0.55,"bmission. DOB: April 28, 2005.  Thanks, Emma Martinez ",fallback_multi
email_12.txt,PERSON,57,81,0.55,"t.org Mon May  4 21:48:34 2026 Subject: Verification  Hello Hiro,  We need to verify the following infor",fallback_multi
email_13.txt,PERSON,9,34,0.55,"Subject: Your Details  Hello Aisha,  Our records show the following entry ",fallback_multi
email_13.txt,PERSON,13389,13401,0.55," below when you have a moment.  Thanks, Aisha Garcia ",fallback_multi
email_14.txt,PERSON,59,83,0.55,"t.org Mon May  4 21:48:34 2026 Subject: Your Details  Hello Sven,  If any of the data is incorrect, repl",fallback_multi
email_14.txt,PERSON,12065,12075,0.55," to this message with updates.  Thanks, Sven Davis ",fallback_multi
email_15.txt,PERSON,9,28,0.55,"Subject: Invoice  Hello Olga,  Please confirm the details below when",fallback_multi
email_15.txt,PERSON,11060,11072,0.55,"arding your recent submission.  Thanks, Olga Johnson ",fallback_multi
email_16.txt,PERSON,9,34,0.55,"Subject: Your Details  Hello Emily,  This is a follow-up regarding your re",fallback_multi
email_16.txt,PERSON,12423,12434,0.55,"arding your recent submission.  Thanks, Emily Lopez ",fallback_multi
email_17.txt,SSN,342,351,0.2,entry for your account. Reach me at +80 862080150. This is a follow-up regarding your rec,regex_ssn_phone_overlap
email_17.txt,SSN,3729,3738,0.2,information to proceed. Reach me at +80 862080150. Please confirm the details below when ,regex_ssn_phone_overlap
email_17.txt,SSN,4423,4432,0.2,s message with updates. Reach me at +80 862080150. This is a follow-up regarding your rec,regex_ssn_phone_overlap
email_17.txt,SSN,8717,8726,0.2,s message with updates. Reach me at +80 862080150. Please confirm the details below when ,regex_ssn_phone_overlap
email_17.txt,PERSON,63,83,0.55,"e.org Mon May  4 21:48:34 2026 Subject: Invoice  Hello Mateo,  Our records show the following entry ",fallback_multi
email_17.txt,PERSON,13506,13517,0.55,"lowing information to proceed.  Thanks, Mateo Smith ",fallback_multi
email_18.txt,SSN,1969,1978,0.2,"s message with updates. Reach me at +38 624761459. If any of the data is incorrect, reply",regex_ssn_phone_overlap
email_18.txt,SSN,2453,2462,0.2,"information to proceed. Reach me at +38 624761459. If any of the data is incorrect, reply",regex_ssn_phone_overlap
email_18.txt,SSN,2605,2614,0.2,information to proceed. Reach me at +38 624761459. Please confirm the details below when ,regex_ssn_phone_overlap
email_18.txt,SSN,3519,3528,0.2,"entry for your account. Reach me at +38 624761459. If any of the data is incorrect, reply",regex_ssn_phone_overlap
email_18.txt,SSN,6187,6196,0.2,when you have a moment. Reach me at +38 624761459. Our records show the following entry f,regex_ssn_phone_overlap
email_18.txt,SSN,7205,7214,0.2,entry for your account. Reach me at +38 624761459. Please confirm the details below when ,regex_ssn_phone_overlap
email_18.txt,SSN,11354,11363,0.2,entry for your account. Reach me at +38 624761459. Please confirm the details below when ,regex_ssn_phone_overlap
email_18.txt,SSN,12021,12030,0.2,s message with updates. Reach me at +38 624761459. We need to verify the following inform,regex_ssn_phone_overlap
email_18.txt,SSN,13138,13147,0.2,entry for your account. Reach me at +38 624761459. This is a follow-up regarding your rec,regex_ssn_phone_overlap
email_18.txt,PERSON,9,33,0.55,"Subject: Verification  Hello Emma,  Our records show the following entry ",fallback_multi
email_18.txt,PERSON,13994,14005,0.55," to this message with updates.  Thanks, Emma Martin ",fallback_multi
email_19.txt,PERSON,9,32,0.55,"Subject: Important  Hello Fatima,  This is a follow-up regarding your re",fallback_multi
email_19.txt,PERSON,13149,13162,0.55,"lowing entry for your account.  Thanks, Fatima Thomas ",fallback_multi
email_2.txt,PERSON,61,86,0.55,"e.com Mon May  4 21:48:34 2026 Subject: Your Details  Hello Aisha,  This is a follow-up regarding your re",fallback_multi
email_20.txt,PERSON,9,37,0.55,"Subject: Your Details  Hello Isabella,  We need to verify the following infor",fallback_multi
email_20.txt,PERSON,12110,12124,0.55," below when you have a moment.  Thanks, Isabella Brown ",fallback_multi
email_21.txt,PERSON,62,83,0.55,"ny.co Mon May  4 21:48:34 2026 Subject: Invoice  Hello Olivia,  We need to verify the following infor",fallback_multi
email_21.txt,PERSON,12286,12297,0.55,"arding your recent submission.  Thanks, Olivia Wang ",fallback_multi
email_22.txt,PERSON,9,29,0.55,"Subject: Invoice  Hello Priya,  If any of the data is incorrect, repl",fallback_multi
email_22.txt,PERSON,14227,14237,0.55,"tes. SSN on file: 994-60-3875.  Thanks, Priya Khan ",fallback_multi
email_23.txt,PERSON,64,85,0.55,"ny.co Mon May  4 21:48:34 2026 Subject: Invoice  Hello Sophia,  If any of the data is incorrect, repl",fallback_multi
email_23.txt,PERSON,12997,13010,0.55,"arding your recent submission.  Thanks, Sophia Nguyen ",fallback_multi
email_25.txt,SSN,664,673,0.2,"when you have a moment. Reach me at +79 753399610.  If any of the data is incorrect, repl",regex_ssn_phone_overlap
email_25.txt,SSN,3114,3123,0.2,entry for your account. Reach me at +79 753399610. Please confirm the details below when ,regex_ssn_phone_overlap
email_25.txt,SSN,3667,3676,0.2,entry for your account. Reach me at +79 753399610. We need to verify the following inform,regex_ssn_phone_overlap
email_25.txt,SSN,4556,4565,0.2,entry for your account. Reach me at +79 753399610. Please confirm the details below when ,regex_ssn_phone_overlap
email_25.txt,SSN,5636,5645,0.2,information to proceed. Reach me at +79 753399610. Our records show the following entry f,regex_ssn_phone_overlap
email_25.txt,SSN,8991,9000,0.2,entry for your account. Reach me at +79 753399610. Please confirm the details below when ,regex_ssn_phone_overlap
email_25.txt,PERSON,9,30,0.55,"Subject: Important  Hello Emma,  If any of the data is incorrect, repl",fallback_multi
email_25.txt,PERSON,13956,13967,0.55," below when you have a moment.  Thanks, Emma Wilson ",fallback_multi
email_26.txt,PERSON,9,33,0.55,"Subject: Your Details  Hello Sven,  If any of the data is incorrect, repl",fallback_multi
email_26.txt,PERSON,13805,13817,0.55,"arding your recent submission.  Thanks, Sven Johnson ",fallback_multi
email_27.txt,PERSON,62,86,0.55,"e.org Mon May  4 21:48:34 2026 Subject: Your Details  Hello Olga,  This is a follow-up regarding your re",fallback_multi
email_27.txt,PERSON,12285,12295,0.55,"arding your recent submission.  Thanks, Olga Patel ",fallback_multi
email_28.txt,PERSON,9,33,0.55,"Subject: Your Details  Hello Emma,  Please confirm the details below when",fallback_multi
email_28.txt,PERSON,13577,13587,0.55," below when you have a moment.  Thanks, Emma Smith ",fallback_multi
email_29.txt,PERSON,12602,12613,0.55," to this message with updates.  Thanks, Priya Davis ",fallback_multi
email_3.txt,PERSON,64,89,0.55,"e.org Mon May  4 21:48:34 2026 Subject: Verification  Hello Priya,  Please confirm the details below when",fallback_multi
email_3.txt,PERSON,12223,12235,0.55,"es. Reach me at +77 346498952.  Thanks, Priya Wilson ",fallback_multi
email_30.txt,PERSON,9,34,0.55,"Subject: Verification  Hello Lucas,  This is a follow-up regarding your re",fallback_multi
email_31.txt,PERSON,9,31,0.55,"Subject: Important  Hello Aisha,  Our records show the following entry ",fallback_multi
email_31.txt,PERSON,12341,12352,0.55,"lowing information to proceed.  Thanks, Aisha Lopez ",fallback_multi
email_32.txt,PERSON,9,30,0.55,"Subject: Invoice  Hello Olivia,  Please confirm the details below when",fallback_multi
email_32.txt,PERSON,12594,12606,0.55,"arding your recent submission.  Thanks, Olivia Moore ",fallback_multi
email_33.txt,PERSON,9,28,0.55,"Subject: Meeting  Hello Sven,  If any of the data is incorrect, repl",fallback_multi
email_34.txt,PERSON,9,33,0.55,"Subject: Your Details  Hello Sven,  We need to verify the following infor",fallback_multi
email_34.txt,PERSON,12734,12745,0.55," below when you have a moment.  Thanks, Sven Martin ",fallback_multi
email_35.txt,SSN,2201,2210,0.2,entry for your account. Reach me at +66 828132089.  Please confirm the details below when,regex_ssn_phone_overlap
email_35.txt,SSN,4612,4621,0.2,"when you have a moment. Reach me at +66 828132089. If any of the data is incorrect, reply",regex_ssn_phone_overlap
email_35.txt,SSN,5511,5520,0.2,your recent submission. Reach me at +66 828132089. Our records show the following entry f,regex_ssn_phone_overlap
email_35.txt,SSN,5913,5922,0.2,s message with updates. Reach me at +66 828132089. This is a follow-up regarding your rec,regex_ssn_phone_overlap
email_35.txt,SSN,5994,6003,0.2,"your recent submission. Reach me at +66 828132089.  If any of the data is incorrect, repl",regex_ssn_phone_overlap
email_35.txt,SSN,7798,7807,0.2,entry for your account. Reach me at +66 828132089. This is a follow-up regarding your rec,regex_ssn_phone_overlap
email_35.txt,SSN,9324,9333,0.2,your recent submission. Reach me at +66 828132089. Please confirm the details below when ,regex_ssn_phone_overlap
email_35.txt,SSN,12194,12203,0.2,information to proceed. Reach me at +66 828132089. We need to verify the following inform,regex_ssn_phone_overlap
email_35.txt,SSN,12488,12497,0.2,when you have a moment. Reach me at +66 828132089. This is a follow-up regarding your rec,regex_ssn_phone_overlap
email_35.txt,SSN,12888,12897,0.2,"s message with updates. Reach me at +66 828132089. If any of the data is incorrect, reply",regex_ssn_phone_overlap
email_35.txt,PERSON,9,28,0.55,"Subject: Meeting  Hello Emma,  Our records show the following entry ",fallback_multi
email_35.txt,PERSON,13031,13041,0.55,"arding your recent submission.  Thanks, Emma Davis ",fallback_multi
email_36.txt,PERSON,9,30,0.55,"Subject: Invoice  Hello Sophia,  This is a follow-up regarding your re",fallback_multi
email_36.txt,PERSON,15324,15337,0.55," below when you have a moment.  Thanks, Sophia Taylor ",fallback_multi
email_37.txt,PERSON,9,29,0.55,"Subject: Meeting  Hello Emily,  If any of the data is incorrect, repl",fallback_multi
email_37.txt,PERSON,14136,14146,0.55,"arding your recent submission.  Thanks, Emily Wang ",fallback_multi
email_38.txt,PERSON,9,30,0.55,"Subject: Meeting  Hello Fatima,  Please confirm the details below when",fallback_multi
email_39.txt,PERSON,9,34,0.55,"Subject: Verification  Hello Mateo,  Our records show the following entry ",fallback_multi
email_39.txt,PERSON,14157,14169,0.55,"lowing entry for your account.  Thanks, Mateo Nguyen ",fallback_multi
email_4.txt,PERSON,9,30,0.55,"Subject: Important  Hello Noah,  We need to verify the following infor",fallback_multi
